run	nodes	geneid	community
1	711	FSD1	1
1	711	DOCK11	1
1	711	LINC02334	2
1	711	KCNE4	2
1	711	SERTAD2	1
1	711	ACER2	2
1	711	ACLY	1
1	711	RAP1GDS1	1
1	711	SCIN	2
1	711	LINC02303	3
1	711	ACBD6	1
1	711	CYP4F3	2
1	711	CLIC6	2
1	711	RSAD2	2
1	711	LAMP1	1
1	711	IGDCC3	3
1	711	PIDD1	1
1	711	TNKS2	1
1	711	PHLDA3	2
1	711	TMEM35A	1
1	711	FAM90A27P	2
1	711	RB1	1
1	711	CDHR1	1
1	711	TAFA2	2
1	711	AEN	1
1	711	CYP4F2	3
1	711	LMO7	2
1	711	INPP5D	2
1	711	CLCA2	2
1	711	SLC34A2	2
1	711	SLC4A11	3
1	711	RETSAT	1
1	711	COL15A1	2
1	711	NECTIN4	2
1	711	OTX2	3
1	711	TOB1	2
1	711	ISCU	3
1	711	CEP85L	2
1	711	TP53I3	2
1	711	BLOC1S2	3
1	711	CDKN1A	2
1	711	KLK4	3
1	711	PRKY	2
1	711	CEBPA	1
1	711	GPC1	1
1	711	TMEM131	2
1	711	PGAP6	1
1	711	MIR34AHG	2
1	711	RGS16	3
1	711	PURPL	2
1	711	ABCA12	2
1	711	OSBPL3	2
1	711	KLRF2	2
1	711	THBS1	2
1	711	SLC12A4	2
1	711	PRKX	3
1	711	F5	2
1	711	CD164	1
1	711	ASCC3	2
1	711	SNAP47	3
1	711	RRM2B	2
1	711	NSD1	2
1	711	ANTXR2	1
1	711	E2F3	1
1	711	CASZ1	3
1	711	BBC3	2
1	711	DESI2	2
1	711	LIG1	2
1	711	HEYL	2
1	711	REV3L	2
1	711	SEPTIN11	2
1	711	RAB15	2
1	711	SCN4B	2
1	711	SDC1	2
1	711	IQGAP1	1
1	711	PGPEP1	1
1	711	ITGB1	1
1	711	ITGA8	2
1	711	TRIM43B	2
1	711	MAP4K4	1
1	711	GAMT	2
1	711	WASF2	1
1	711	CNN3	1
1	711	RASSF3	1
1	711	SESN1	3
1	711	FOSL1	1
1	711	NEURL1B	1
1	711	TP53	3
1	711	POLH	2
1	711	ZMAT3	2
1	711	KPNA1	2
1	711	TNFRSF10A	2
1	711	FAM198B-AS1	2
1	711	PYHIN1	2
1	711	HCN2	2
1	711	CERS5	2
1	711	ATP5MC3	1
1	711	MDM2	2
1	711	HHAT	2
1	711	TMEM144	2
1	711	TYMSOS	3
1	711	GADD45A	1
1	711	DRAM1	2
1	711	ZNF195	2
1	711	POR	1
1	711	ASAP1	1
1	711	KITLG	2
1	711	ADAM19	1
1	711	LYNX1	1
1	711	LIMK2	1
1	711	INHBA	2
1	711	F11R	2
1	711	TRIM43	2
1	711	SLC16A10	2
1	711	RPS27L	2
1	711	ANKRD45	2
1	711	PAPPA	2
1	711	TNFRSF10B	2
1	711	TENT5A	1
1	711	DDB2	2
1	711	CHP1	1
1	711	CMBL	2
1	711	PSTPIP2	1
1	711	APOBEC3C	2
1	711	PHLDB3	1
1	711	EDA2R	2
1	711	INKA2	1
1	711	TNFRSF11A	2
1	711	TRIM49	3
1	711	TRIM24	3
1	711	NHLH2	2
1	711	EPHA2	2
1	711	CROT	2
1	711	PPM1D	2
1	711	VGLL4	2
1	711	MYH9	1
1	711	MFNG	3
1	711	PTCHD4	2
1	711	GDF15	2
1	711	FDXR	2
1	711	DINOL	2
1	711	MLF2	3
1	711	LNCTAM34A	2
1	711	ARCN1	1
1	711	XPC	2
1	711	ALPK3	2
1	711	RFPL4B	3
1	711	AREG	2
1	711	MCCC2	2
1	711	PARD6G	2
1	711	TP53INP2	1
1	711	C1orf226	3
1	711	FAS	2
1	711	CKB	1
1	711	RTTN	3
1	711	COPA	1
1	711	EI24	2
1	711	CDKN2B	3
1	711	OTP	2
1	711	DDX3X	1
1	711	PINCR	2
1	711	PLXNB2	2
1	711	TLN1	1
1	711	CAMK2B	2
1	711	ZNF561	2
1	711	GRK2	1
1	711	E2F7	2
1	711	GRB2	1
1	711	TRIM72	3
1	711	PSD3	2
1	711	IGF2R	1
1	711	CCND1	3
1	711	IGFBP3	2
1	711	MMP1	2
1	711	ASAH1	2
1	711	CCNG1	2
1	711	TP53INP1	2
1	711	SPARCL1	2
1	711	IER5	2
1	711	NARF	1
1	711	PRDM1	1
1	711	PPIF	2
1	711	HSDL2	2
1	711	BAX	3
1	711	RBM38	1
1	711	DSP	1
1	711	DBNDD1	3
1	711	GLTP	1
1	711	PTGS2	2
1	711	JUP	1
1	711	PCNA	2
1	711	ADAMTS7	1
1	711	MAFG	3
1	711	LARP1	1
1	711	INSIG1	1
1	711	AKR1B1	1
1	711	TRAK2	2
1	693	SERPINF1	1
1	693	CROCC2	1
1	693	OTOF	3
1	693	MT1F	3
1	693	FKBP4	3
1	693	RGS3	3
1	693	KANK4	3
1	693	ZDHHC22	1
1	693	DLX3	1
1	693	CTSB	1
1	693	APLP2	1
1	693	PENK	3
1	693	MIAT	1
1	693	CIT	1
1	693	COTL1	1
1	693	RGS12	1
1	693	TIMP3	1
1	693	SYT6	1
1	693	TMEM132B	1
1	693	RARRES2	1
1	693	CDH15	1
1	693	USP20	3
1	693	VIM	2
1	693	PFKFB3	1
1	693	RNASE1	3
1	693	NR1D1	3
1	693	ELFN2	3
1	693	COL12A1	2
1	693	TTC3	2
1	693	CD44	1
1	693	IGSF8	1
1	693	SHB	1
1	693	ACTN3	1
1	693	ARHGEF12	2
1	693	NSMF	3
1	693	SPEG	1
1	693	BMP7	1
1	693	TNNT2	1
1	693	STC2	1
1	693	SH3RF3	3
1	693	SNHG29	1
1	693	CA9	1
1	693	RCAN2	2
1	693	SSR1	2
1	693	TPT1	1
1	693	NKD1	1
1	693	IQSEC1	1
1	693	SLC6A6	1
1	693	RBP1	1
1	693	DAZL	1
1	693	PTPRU	1
1	693	RPS6	2
1	693	ZHX1	2
1	693	ANXA5	2
1	693	EGFR	1
1	693	NOS1	3
1	693	WHRN	3
1	693	SUN2	1
1	693	FAM131B	1
1	693	EIF3E	2
1	693	PTBP2	2
1	693	FBLN1	1
1	693	PNRC1	2
1	693	CANX	2
1	693	ARNT	2
1	693	SEMA3C	2
1	693	TMEM245	2
1	693	RNF213	1
1	693	GRIK3	3
1	693	SSTR2	1
1	693	TNRC6C	3
1	693	PHGDH	1
1	693	ZNF510	3
1	693	PER3	3
1	693	SERINC5	3
1	693	SCP2	2
1	693	UBE2D3	2
1	693	ID1	1
1	693	TRIM9	3
1	693	ENO3	1
1	693	HIP1	3
1	693	VTA1	2
1	693	KCTD12	2
1	693	NRP2	1
1	693	NDRG1	1
1	693	SHH	3
1	693	LRRC8D	3
1	693	TRIM25	1
1	693	OLFML2B	1
1	693	STK32C	1
1	693	FAIM2	2
1	693	CD81	1
1	693	ZNF395	1
1	693	DSTN	2
1	693	RAN	2
1	693	CASTOR2	2
1	693	CACNA1A	3
1	693	BCAM	3
1	693	TGFBI	1
1	693	SEPTIN4	1
1	693	CHSY1	2
1	693	CCDC136	3
1	693	ATP6V1C1	3
1	693	AFAP1	2
1	693	SH3KBP1	1
1	693	ANKRD33B	2
1	693	RGS2	1
1	693	GPR107	2
1	693	NIPA1	2
1	693	ARHGAP26	2
1	693	SCN4A	3
1	693	STC1	1
1	693	CASTOR3	2
1	693	CILP2	3
1	693	SPHKAP	3
1	693	MAP2K6	2
1	693	TENM4	3
1	693	H1-0	1
1	693	ATP1A1	1
1	693	SART3	2
1	693	C14orf132	2
1	693	NOTCH1	3
1	693	MBNL2	2
1	693	LAMP2	1
1	693	NPHS1	3
1	693	UNC119	2
1	693	SESN2	3
1	693	SMARCE1	2
1	693	HEY1	2
1	693	TCF7	1
1	693	PHLDA1	3
1	693	PDZRN3	2
1	693	SET	3
1	693	SLC38A4	3
1	693	SNHG1	2
1	693	SOX8	1
1	693	SQSTM1	1
1	693	RASAL1	2
1	693	DTWD1	2
1	693	HELZ2	1
1	693	NPTX1	1
1	693	STRADB	3
1	693	IP6K3	3
1	693	MACROH2A1	3
1	693	SCD5	2
1	693	PRAG1	1
1	693	ITGA6	3
1	693	ANTXR1	2
1	693	LMX1A	3
1	693	NINJ1	1
1	693	LTBP2	1
1	693	RNPEP	1
1	693	SLC7A1	1
1	693	IFIH1	1
1	693	ID2	1
1	693	COL4A5	2
1	693	PCYOX1	1
1	693	VSTM4	2
1	693	FOXO1	3
1	693	RBM24	1
1	693	PLEKHD1	3
1	693	KIF1C	1
1	693	KIF3B	2
1	693	FNDC5	3
1	693	GNG5	1
1	693	SMARCC1	1
1	693	CHRNA1	1
1	693	LPAR1	1
1	693	ABCD3	2
1	693	SCRN1	1
1	693	SCN8A	2
1	693	OPRD1	2
1	693	OLFML2A	2
1	693	NTPCR	2
1	693	TMSB4X	1
1	693	FAT1	1
1	693	MX2	1
1	693	PCSK1	2
1	693	ADGRE5	1
1	693	MAN1C1	3
1	693	EMP1	2
1	693	SPATS2L	2
1	693	NRBP1	1
1	693	BST2	1
1	693	NADSYN1	1
1	693	CPD	1
1	693	TMEM14C	1
1	693	SLC36A1	3
1	693	LGALS3BP	1
1	693	SEC24D	2
1	693	EPHB1	3
1	693	SERPINE2	2
1	693	ATF7IP	3
1	693	ZNFX1	1
1	693	SVEP1	2
1	693	FBLIM1	1
1	693	TMEM169	2
1	693	PSME1	1
1	693	COBLL1	1
1	693	VASP	1
1	693	TANC1	1
1	693	PGF	2
1	693	TRIP6	1
1	693	RHOA	1
1	693	LDLR	1
1	693	IFI44L	1
1	693	ADGRB2	3
1	693	SH3D19	2
1	693	IL11	1
1	693	SYTL1	1
1	693	MTA2	1
1	693	MAN2B1	1
1	693	RPS19	1
1	693	CES2	2
1	693	CELSR1	2
1	693	ULK1	1
1	693	FAM167A	1
