run	nodes	geneid	local_outdegree_centrality	local_betweenness_centrality	outdegree_centrality	betweenness_centrality	community	community_size	rank_betweenness	rank_outdegree	rank_local_betweenness	rank_local_outdegree
1	601	PRDM1	0.045000000000000005	0.0006176961602671118	0.085	0.010281023928770172	3	90	23.0	56.0	7.0	10.0
1	601	KLF7	0.07	0.0005843071786310517	0.09166666666666667	0.006160267111853088	1	140	48.0	49.0	25.0	19.0
1	601	ETV5	0.018333333333333333	0.0001892042292710072	0.018333333333333333	0.0002865887590428492	1	140	212.0	171.0	45.0	53.0
1	587	LMX1A	0.10238907849829351	0.0019923572824596717	0.17918088737201365	0.03419095125579767	3	92	3.0	8.0	2.0	2.0
1	587	ISL1	0.06313993174061433	0.00026545316647705726	0.06825938566552901	0.0022344739068288558	4	62	120.0	69.0	8.0	4.0
1	587	PRDM1	0.042662116040955635	0.0005571599428254719	0.08191126279863481	0.010513112219596861	3	92	23.0	53.0	10.0	10.0
1	587	KLF7	0.06655290102389079	0.0005367404684810829	0.08532423208191127	0.005781628307225577	1	139	56.0	50.0	26.0	19.0
1	587	ETV5	0.01877133105802048	0.000140019252647239	0.01877133105802048	0.00029170677634841457	1	139	207.0	163.0	54.0	49.0
1	573	LMX1A	0.08216783216783216	0.0009246445323503117	0.16433566433566432	0.03590498818169571	3	75	1.0	9.0	3.0	2.0
1	573	ISL1	0.055944055944055944	0.000367408423450455	0.06118881118881119	0.0026300319645328404	4	58	103.0	71.0	6.0	4.0
1	573	PRDM1	0.04195804195804196	0.00022350679093236013	0.08216783216783216	0.011610106181034377	3	75	26.0	49.0	11.0	10.0
1	573	KLF7	0.06293706293706294	0.0003827171077608906	0.08216783216783216	0.004136406500679706	1	139	72.0	49.0	33.0	17.0
1	573	ETV5	0.015734265734265736	0.00019901289603566313	0.015734265734265736	0.00036434668658836785	1	139	190.0	165.0	45.0	49.0
1	553	LMX1A	0.07971014492753624	0.0010488176964149503	0.1539855072463768	0.0347293458533891	3	84	4.0	10.0	5.0	3.0
1	553	ISL1	0.041666666666666664	0.00018083063731292248	0.059782608695652176	0.003363449854020358	4	42	90.0	67.0	7.0	6.0
1	553	PRDM1	0.04891304347826087	0.0005753702096320261	0.07789855072463768	0.007571871958757463	3	84	44.0	47.0	9.0	7.0
1	553	KLF7	0.057971014492753624	0.00035508561508719325	0.07608695652173914	0.003195770535784739	1	135	95.0	49.0	36.0	18.0
1	553	ETV5	0.012681159420289856	0.00018411846708224835	0.012681159420289856	0.0003485099555485415	1	135	191.0	173.0	44.0	54.0
1	539	LMX1A	0.09107806691449814	0.00220833073733325	0.14312267657992564	0.023260160744325145	2	108	10.0	9.0	3.0	4.0
