treatment	run	threshold	component	nodes	edges	sigma	dominating_size	alpha	xmin	exp_r	exp_p	logn_r	logn_p
AMn	1	0.384	positive	508	2773	1.1876642195567104	292	2.127119459415252	6.0	46.80069951002038	3.07708344223267e-05	-1.628770103030658	0.18282741873848207	
AMn	1	0.386	positive	505	2712	1.2670648962457634	291	2.1373879478589437	6.0	46.45046361154097	2.813232251983155e-05	-1.4690716939818627	0.2047124215427638	
AMn	1	0.388	positive	502	2647	1.190201963040077	297	2.131985569956706	6.0	43.350353960048565	6.416280819442515e-05	-1.567137520280423	0.1955550854320115	
AMn	1	0.39	positive	499	2584	1.2571177864773504	295	2.0532071366134517	5.0	44.64631146070746	0.00020951183599795422	-3.905320531427665	0.044213613725525715	
AMn	1	0.392	positive	496	2516	1.1757599916804005	293	2.136904702888289	6.0	39.96028180514931	0.00013882565647410676	-1.4877415657945257	0.21079740048183326	
AMn	1	0.394	positive	493	2460	1.1585109345139337	292	2.132625956161167	6.0	37.16320414979546	0.00030060734437504903	-1.6056788546662344	0.2001337570217071	
AMn	1	0.396	positive	489	2415	1.223606125322025	291	2.0583969680024445	5.0	40.99926100763836	0.000355733288124366	-3.297159838052176	0.06619687270534123	
AMn	1	0.398	positive	487	2365	1.2343386199006148	287	2.0561507734181568	5.0	38.634693264148	0.0005318547235351446	-3.3929793511096547	0.06329911828788516	
AMn	1	0.4	positive	484	2310	1.2625190736420664	286	2.0583732462624407	5.0	36.89410409411908	0.0006974964118869774	-3.420096047533436	0.061068085683282494	
AMn	1	0.402	positive	481	2258	1.2369457655023113	287	1.9959526558882692	4.0	47.90930071178163	0.0002088178849450978	-5.047896351600833	0.023961068266229506	
AMn	1	0.404	positive	475	2192	1.199887379201309	276	2.0734887937664555	5.0	36.30286124440834	0.0006325801516363694	-2.684764666818089	0.10093787765998609	
AMn	1	0.406	positive	472	2144	1.24890287869088	276	1.9973688146642954	4.0	44.15928735657999	0.00038956120085642526	-4.769509804507381	0.028647154278733676	
AMn	1	0.40800000000000003	positive	469	2095	1.2467262070209832	276	2.0000694021202143	4.0	42.89756165209743	0.00042335412196829714	-4.540770429133907	0.03233215699058289	
AMn	1	0.41000000000000003	positive	467	2054	1.2652199335064873	278	2.0024725276354047	4.0	42.05605089743466	0.0004674494559952763	-4.271827825277455	0.038509854856148745	
AMn	1	0.41200000000000003	positive	463	2007	1.231783372920236	283	1.9201565141663295	3.0	58.460891714989764	9.143435896092916e-05	-7.092708627664183	0.007811227162203817	
